ID RENABAP,Provincia,Municipio,Barrio,Localidad,Tipo de UE,Tipo de Proyecto,Nombre de Proyecto,Financiamiento,Estado,Monto Total,Acta de Inicio Real,% Avance físico
320,Buenos Aires,Pehuajó,Talleres,Pehuajó,Municipio,POT,“Extensión de redes de Agua y Cloacas y Revalorización de la Plazoleta Elsa Raquel”,FF,Terminado,"21,238,407.10",2021-05-17,100.00%
1407,Buenos Aires,Esteban Echeverría,La Paz,Nueve De Abril,Municipio,POT,“Espacio Público (Plaza) para el Barrio La Paz”,FF,Terminado,"3,562,900.93",2021-03-08,100.00%
4173,Entre Ríos,La Paz,La Ribera,La Paz,OSC,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,Terminado,"5,313,000.00",,
444/852,Buenos Aires,General Pueyrredón,El Martillo/Las Heras,Mar Del Plata,OSC,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,En ejecución,"6,331,251.39",,
358/1284/1142,Buenos Aires,Mercedes,Marchetti │Marchetti II │Redes,Mercedes,Municipio,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,Terminado,"1,149,500.00",,
4119/4120/4121,Tucumán,Tafí Viejo,Niño Jesús/Cortada de Matorel/Ampliación Meloni,Tafí Viejo,Municipio,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,Terminado,"2,794,000.00",,
2121/2197/2127/2178/2183/3098/2135/3115/2170,Salta,San Ramón de la Nueva Orán/Rosario de la Frontera/Embarcación/Pinchanal/General Güemes/La Caldera,Nestor Kirchner/Cuatro de Junio/San Expedito/Obras Sanitarias/Santa Ana/Dieciseis de Julio/Comunidad Mbooapi Karanday (Tres Palmeras)/Nueva Esperanza 2/Villa Sara,San Ramón de la Nueva Orán/Rosario de la Frontera/Embarcación/Pinchanal/General Güemes/La Caldera,Provincia,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,Terminado,"4,311,230.00",,
212/1387,Buenos Aires,Chascomús,Algarrobo/San Cayetano,Chascomús,Municipio,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,Terminado,"1,076,900.00",,
1357,Buenos Aires,La Matanza,Palito,San Justo,Municipio,POT,"""Memorial Padre Bachi""",FF,Terminado,"4,594,709.56",2021-11-24,100.00%
2278,Chaco,Resistencia,La Rubita,Resistencia,Provincia,PrePEG,Diseño de Proyecto Integral,FF,En ejecución,"63,229,000.00",,
1038/1567,Buenos Aires,Berazategui,Prosperidad/Arroyo Las Conchitas y 126 (Kenedy),Ranelagh,Municipio,PrePEG,Diseño de Proyecto Integral,FF,En ejecución,"4,498,600.00",,
2503,Río Negro,General Roca,Ampliación Chacramonte,General Roca,Municipio,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,Terminado,"520,000.00",,
213/4310/4311,Buenos Aires,Baradero,La Igualdad/Tobares/ Don Pedro,Baradero,Municipio,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,Terminado,"2,328,750.00",,
1909/1786/1853/1832/2987/3040/1794/1775/1840/1776,Santa Fe,Rosario/Santa Fe/Baigorria/Villa Gobernador Gálvez,Ludueña  - Los Pumitas - San Martin sur - Piamonte  - Las Lomas - La Vuelta del Paraguayo - Camino Muerto - La Ribera - Costa Esperanza - El Ocho,Rosario/Santa Fe/Baigorria/Villa Gobernador Gálvez,Provincia,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,En ejecución,"24,800,000.00",,
337/483/154/1341/1167/1088/4501/1495/128/2943/1402,Buenos Aires,Almirante Brown,Almafuerte/Kanmar/ Veinte de junio/La Laurita/La Estrella/La Victoria/Sin Nombre/La Yaya I/Villa Corina/2 de abril/Sarmiento,Varios,OSC,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,Terminado,"47,357,028.95",,
2532,Río Negro,Cinco Saltos,Obreros Unidos,Cinco Saltos,Municipio,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,En ejecución,"510,000.00",,
3728/3729/3753/3730/3744/3745/4466,Río Negro,El Bolsón,Alma Fuerte/Los Ñires/El Renoval/Amancay/Amancay 2/La Laguinita/Laguna de los Juncos,El Bolsón,Municipio,PrePEG,Diseño de un Proyecto Ejecutivo Integral,FF,Terminado,"7,314,692.00",,
Varios,Varios,Varios,Varios,Varios,OSC,VIVIENDA,Viviendas de emergencia,FF,Terminado,"277,703,232.94",2023-11-17,100.00%
