fid,renabap_id,nombre_barrio,provincia,departamento,localidad,cantidad_familias_aproximada,cantidad_viviendas_aproximadas,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,situacion_dominial,clasificacion_barrio,superficie_m2,WKT
2058,2226,Chacra 299,Chaco,San Fernando,Puerto Vilelas,22,20,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,45078,"MULTIPOLYGON (((-58.938442 -27.52295,-58.9393451239999 -27.523602233,-58.940324297 -27.5227891769999,-58.940461534 -27.5220753739999,-58.941338 -27.52114,-58.942133 -27.51955,-58.9429245562384 -27.5195434260397,-58.9429458432185 -27.5192167130198,-58.942198 -27.519219,-58.942025 -27.519254,-58.941781 -27.519382,-58.941598 -27.519642,-58.941208 -27.520367,-58.938442 -27.52295)))"
2059,2227,La Carbonilla,Chaco,San Fernando,Puerto Vilelas,28,25,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Camión cisterna,Gas en garrafa,Inexistente,NO,Asentamiento,26470,"MULTIPOLYGON (((-58.9161092611353 -27.5384382611353,-58.9164709697199 -27.5388004346145,-58.9167922427947 -27.539012660262,-58.9177907572052 -27.538092320524,-58.9174097187773 -27.537834320524,-58.9172764759825 -27.5377937283842,-58.916197 -27.536804,-58.9155240681222 -27.5374443397379,-58.9161092611353 -27.5384382611353)))"
2060,2228,UCAL,Chaco,San Fernando,Barranqueras,140,127,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión regular a la red de agua pero sin factura,Gas en garrafa,Energía eléctrica,NO,Asentamiento,71635,"MULTIPOLYGON (((-58.9459541626637 -27.4916112248908,-58.9450096124454 -27.4924933550218,-58.944952 -27.493919,-58.943187 -27.493916,-58.943244 -27.496047,-58.946173 -27.493558,-58.947186 -27.493642,-58.947711 -27.4931826124454,-58.9459541626637 -27.4916112248908)))"
2061,2229,Lote 23,Chaco,San Fernando,Puerto Vilelas,110,100,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,49231,"MULTIPOLYGON (((-58.947455678 -27.512800183,-58.946542125 -27.512052393,-58.943377 -27.514861,-58.944405 -27.515818,-58.944485 -27.515709,-58.94434 -27.514887,-58.94463 -27.514488,-58.945112 -27.514025,-58.946942 -27.513975,-58.947455678 -27.512800183)))"
2062,2230,Atlántico Sur,Chaco,San Fernando,Resistencia,41,37,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,29111,"MULTIPOLYGON (((-58.9756329190764 -27.4343818426148,-58.9748521618264 -27.4350849125763,-58.9741296700428 -27.4343857269793,-58.974304466442 -27.4340827465539,-58.974386038095 -27.4339273719768,-58.9745880250453 -27.4335816635427,-58.974657943605 -27.4335428198984,-58.9756329190764 -27.4343818426148)),((-58.976948 -27.43263,-58.975976 -27.431813,-58.9768319270442 -27.431159085088,-58.977249675259 -27.4315297188425,-58.97717 -27.431604,-58.977454 -27.431913,-58.977232 -27.432113,-58.977524 -27.432373,-58.977752 -27.432204,-58.978042 -27.432485,-58.977454 -27.432889,-58.977071 -27.432532,-58.976948 -27.43263)))"
2063,2231,María Inmaculada,Chaco,San Fernando,Resistencia,314,285,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Villa,88970,"MULTIPOLYGON (((-59.000152 -27.426214,-58.998397 -27.424705,-58.9990934918237 -27.4241289672947,-58.998769 -27.42389,-58.998447 -27.423871,-58.998147 -27.423719,-58.997763666 -27.4231753509999,-58.997367870548 -27.422893660236,-58.996543378489 -27.4225480452629,-58.9955190346444 -27.4217007650453,-58.9952880224932 -27.4219165736996,-58.9968344106039 -27.4233063508923,-58.996521361 -27.423589007,-58.997029 -27.423981,-58.996783 -27.424262,-58.996538 -27.42459,-58.996725 -27.424709,-58.996918 -27.4247,-58.997761 -27.4254,-58.997128 -27.425971,-58.998785 -27.427447,-59.000152 -27.426214)))"
2064,2232,Villa Fucksman,Chaco,San Fernando,Barranqueras,165,150,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión regular a la red de agua pero sin factura,Gas en garrafa,Inexistente,NO,Asentamiento,68783,"MULTIPOLYGON (((-58.93697 -27.491547,-58.9343185244541 -27.493899,-58.9348195529776 -27.4943533195713,-58.935224 -27.494661,-58.935689 -27.494974,-58.9383853777292 -27.4927450978166,-58.93697 -27.491547)))"
2065,2233,María Cristina,Chaco,San Fernando,Barranqueras,550,500,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,340804,"MULTIPOLYGON (((-58.924793 -27.475637,-58.92226 -27.473352,-58.92137 -27.474114,-58.91947 -27.47241,-58.915382 -27.47597,-58.915931 -27.47666,-58.916785 -27.477426,-58.918163 -27.47864,-58.91944 -27.479868,-58.91996 -27.479487,-58.919349 -27.478578,-58.919907 -27.478254,-58.92062 -27.477664,-58.920888 -27.477345,-58.920572 -27.477174,-58.921243 -27.476408,-58.920888 -27.475822,-58.921511 -27.47527,-58.921832 -27.475546,-58.922433 -27.47507,-58.922997 -27.47498,-58.924172 -27.475594,-58.923463 -27.476255,-58.923817 -27.47656,-58.925142 -27.475451,-58.925524 -27.475125,-58.925859 -27.475472,-58.926884 -27.476617,-58.926006 -27.477412,-58.925535 -27.477804,-58.926162 -27.47844,-58.926326 -27.478787,-58.926696 -27.479132,-58.927595 -27.478437,-58.926948 -27.477524,-58.926739 -27.477191,-58.927447 -27.476517,-58.926597 -27.475739,-58.925674 -27.474925,-58.924793 -27.475637)))"
2066,2234,Anunciación,Chaco,San Fernando,Fontana,165,150,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Inexistente,NO,Asentamiento,84969,"MULTIPOLYGON (((-59.0587986754974 -27.4124845986745,-59.059353911258 -27.411975181457,-59.0585974092715 -27.4114059536424,-59.058355181457 -27.4115217721855,-59.0581908688735 -27.4116249536424,-59.0577292317874 -27.4115319072849,-59.0573098649005 -27.411376,-59.0572340463575 -27.4110937721855,-59.0573632278144 -27.4106384092715,-59.0576101390724 -27.410206088742,-59.0574979112579 -27.4099911311264,-59.056987264015 -27.4101914858125,-59.0570780366123 -27.4103245755511,-59.054428725828 -27.4115345443709,-59.0552688199405 -27.4123881231743,-59.056681725828 -27.413624,-59.0573343549679 -27.4129753245025,-59.0576159321642 -27.4129817440291,-59.057916 -27.4129,-59.058269834404 -27.4126596573656,-59.0585751337583 -27.4125802332708,-59.0587986754974 -27.4124845986745)))"
2067,2235,Los Aromitos,Chaco,San Fernando,Resistencia,209,190,Década 2010,2013,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Leña o carbón,Leña o carbón,NO,Asentamiento,71016,"MULTIPOLYGON (((-58.9917387967579 -27.4084993837978,-58.9926315202021 -27.4093577196968,-58.9929883396462 -27.4092879595957,-58.9960188194442 -27.4066264797978,-58.994859 -27.405528,-58.9917387967579 -27.4084993837978)))"
