fid,renabap_id,nombre_barrio,provincia,departamento,localidad,cantidad_familias_aproximada,cantidad_viviendas_aproximadas,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,situacion_dominial,clasificacion_barrio,superficie_m2,WKT
1,1,Monterrey I,Buenos Aires,Pilar,Presidente Derqui,44,40,Década 1990,,Conexión regular a la red con medidor prepago,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,11674,"MULTIPOLYGON (((-58.8335009011456 -34.4812767707182,-58.8338336443074 -34.4808671420108,-58.833401356863 -34.4806110756358,-58.8334549492993 -34.4805348258848,-58.8331687654129 -34.4803714858321,-58.8328126552738 -34.480896232575,-58.8327486104317 -34.480953113597,-58.8326849877467 -34.4809655384536,-58.8320260003996 -34.4817949997394,-58.8328279996124 -34.4822110000376,-58.8331120001187 -34.4818549998084,-58.83259999989 -34.4815740003398,-58.832962000396 -34.4811190000418,-58.8334383660923 -34.4813466202201,-58.8335009011456 -34.4812767707182)))"
2,2,Malvinas II,Buenos Aires,La Plata,José Melchor Romero,319,290,Década 1990,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,98034,"MULTIPOLYGON (((-58.0120004835292 -34.9473196698925,-58.009108569 -34.944667475,-58.0079524625309 -34.9454970409061,-58.0088824294695 -34.9463660576595,-58.0077743061939 -34.9471639211965,-58.0098163070646 -34.9489937387756,-58.0099659113472 -34.9491201020913,-58.0121518558232 -34.9474655662931,-58.0120004835292 -34.9473196698925)))"
3,3,Ferroviario,Buenos Aires,La Plata,Angel Etcheverry,146,133,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Leña o carbón,NO,Asentamiento,75850,"MULTIPOLYGON (((-58.0798035302329 -35.0350737628868,-58.0795750785506 -35.0351773346625,-58.0794172140809 -35.0353919703667,-58.0909954812217 -35.0458889764796,-58.0914287524407 -35.0456921531953,-58.091257348132 -35.0454958723798,-58.089855595578 -35.0442218634144,-58.0874306815871 -35.0420359084758,-58.0830583727693 -35.0380343246592,-58.0798035302329 -35.0350737628868)))"
4,4,La Favelita,Buenos Aires,La Plata,Tolosa,134,122,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,36865,"MULTIPOLYGON (((-57.9799139743844 -34.9083356528461,-57.9799446502346 -34.9083771121941,-57.9808689260664 -34.9076939953937,-57.9794463546212 -34.9063891427946,-57.9777343472026 -34.9076682263222,-57.9787429210764 -34.9086124637807,-57.9793655924008 -34.908143831093,-57.9797247911538 -34.9084763183844,-57.9799139743844 -34.9083356528461)))"
5,5,Casaca,Buenos Aires,La Plata,City Bell,22,20,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,25754,"MULTIPOLYGON (((-58.0629703668204 -34.9013418887833,-58.0632797004983 -34.9016374166367,-58.0633405626057 -34.9019002502643,-58.0633476193478 -34.9021862999753,-58.0631918303478 -34.9025223149753,-58.0632111154497 -34.9027425223392,-58.0630814312804 -34.9029181367948,-58.063129715315 -34.9032013070616,-58.0647615320347 -34.9028203732667,-58.0648651698566 -34.902741388306,-58.0642646928567 -34.901134682306,-58.06418493795 -34.9010799378815,-58.0640776056045 -34.9010812038123,-58.0629703668204 -34.9013418887833)))"
6,6,La Güemes,Buenos Aires,La Plata,Manuel B. Gonnet,13,12,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,3422,"MULTIPOLYGON (((-58.0466723439999 -34.8878802909999,-58.046822548 -34.887959496,-58.0469459299999 -34.8883907229999,-58.0471819639999 -34.88835112,-58.047332168 -34.8883071179999,-58.047267795 -34.8880475019999,-58.0469298359999 -34.887660276,-58.046613336 -34.8875810709999,-58.0464363099999 -34.88772188,-58.046516776 -34.887928694,-58.0466723439999 -34.8878802909999)))"
7,7,8 y 489,Buenos Aires,La Plata,Manuel B. Gonnet,25,23,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,6551,"MULTIPOLYGON (((-58.0193710445287 -34.8698970519912,-58.0190638399075 -34.8694146926981,-58.0180228967069 -34.8698919055462,-58.0183236802356 -34.8703697716124,-58.0193710445287 -34.8698970519912)))"
8,8,La Fábrica,Buenos Aires,La Plata,Gorina,204,185,Década 1960,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,48477,"MULTIPOLYGON (((-58.0495658056441 -34.9006214986955,-58.0481138234745 -34.9009921526774,-58.0479914856686 -34.9008506168627,-58.0479434138897 -34.900840543595,-58.0478617230931 -34.9008123150115,-58.0477384752334 -34.9008266283745,-58.0475917158358 -34.9008395521668,-58.0476081150333 -34.9008897630346,-58.047493141426 -34.9009115870033,-58.0475400329855 -34.9010494942837,-58.0474697510678 -34.901071047823,-58.047495693711 -34.9011639355853,-58.0475715802146 -34.9011441359712,-58.0477444422939 -34.9011087268354,-58.0479972524409 -34.9018871390062,-58.048044870764 -34.9021845250892,-58.0472768192316 -34.9028722819592,-58.0472387270516 -34.9030499930074,-58.0476723020487 -34.9034110297236,-58.0487835135717 -34.9031238607447,-58.0502549553418 -34.9027619233867,-58.0498065315273 -34.901396757717,-58.0484300201337 -34.9017238639692,-58.0483446069251 -34.9014488192576,-58.0497301020586 -34.9011180016094,-58.0495658056441 -34.9006214986955)))"
9,10,Hijos de Malvinas,Buenos Aires,La Plata,José Melchor Romero,121,110,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,37407,"MULTIPOLYGON (((-58.0163771384788 -34.9475578040404,-58.0174669286541 -34.9467744954205,-58.0153872345573 -34.9448478230558,-58.014372455281 -34.945643370148,-58.0145601313174 -34.9458177593853,-58.0145285751697 -34.9458559589326,-58.0163771384788 -34.9475578040404)))"
10,11,514 y 138,Buenos Aires,La Plata,José Hernández,65,59,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,42301,"MULTIPOLYGON (((-58.0258278040539 -34.9120080607027,-58.023428539 -34.9125004809999,-58.0229810887836 -34.9127067283785,-58.021405549757 -34.9129400626218,-58.0204457966745 -34.9131652802167,-58.0205503946476 -34.9136883968366,-58.020857141973 -34.9139488677566,-58.0216430858648 -34.9146800489457,-58.0235018803508 -34.913262411757,-58.023219471127 -34.912868769776,-58.0258982560539 -34.9122351467027,-58.0258278040539 -34.9120080607027)))"
11,12,Villa Rica,Buenos Aires,La Plata,Villa Elisa,59,54,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,31808,"MULTIPOLYGON (((-58.0865490966395 -34.8665386635493,-58.0874878158271 -34.8672640893572,-58.0880790255516 -34.8678568271226,-58.0885854984126 -34.8675817769715,-58.0883098780654 -34.8672310176914,-58.0881243722993 -34.8670231414182,-58.0880568978205 -34.8667074385426,-58.0880655563873 -34.8663138513814,-58.0881676998718 -34.8660576362632,-58.0880554131496 -34.8657706717927,-58.0877986150102 -34.8655615580393,-58.087139041341 -34.8660758855709,-58.0864442706638 -34.865510835258,-58.0860089105356 -34.8658185787132,-58.0858527853777 -34.8659495047658,-58.0854646577677 -34.8662273808889,-58.0861539360066 -34.8668374675263,-58.0865490966395 -34.8665386635493)))"
12,13,El Progreso,Buenos Aires,La Plata,Villa Elisa,64,58,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Energía eléctrica,NO,Asentamiento,18833,"MULTIPOLYGON (((-58.0788443216917 -34.8603190012198,-58.0785278647847 -34.8603997987279,-58.0782380749232 -34.8606501497325,-58.079781824538 -34.8619908351229,-58.0807701948735 -34.8611902786279,-58.0804053366364 -34.861083659404,-58.0803607712818 -34.8611470793317,-58.079397422982 -34.8605230923647,-58.0792665359235 -34.8604469090763,-58.0792166192748 -34.8604232915238,-58.0789269748632 -34.8603223548349,-58.0788443216917 -34.8603190012198)))"
13,14,El Rincón I,Buenos Aires,La Plata,Arturo Seguí,64,58,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,30123,"MULTIPOLYGON (((-58.1011272219389 -34.8890278392931,-58.1000584773464 -34.8893059204103,-58.1003109277987 -34.8908626981997,-58.1010680510239 -34.8907336431045,-58.1011099640646 -34.8906706618869,-58.1012035808212 -34.8906517206551,-58.1018767620909 -34.8904377292581,-58.1018705722423 -34.890404185899,-58.1023183417253 -34.890335348,-58.1025313444291 -34.8902631411969,-58.1026871100497 -34.8902265385143,-58.1024732429651 -34.8898808696218,-58.1021457650979 -34.8896616489008,-58.1011272219389 -34.8890278392931)))"
14,15,La Fortaleza,Buenos Aires,La Plata,Villa Elisa,182,165,Década 1950,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,89231,"MULTIPOLYGON (((-58.0804107613632 -34.8639048925364,-58.0789983394594 -34.8626643242483,-58.0798561534181 -34.8619999262892,-58.0806556490129 -34.8613749718205,-58.0816057601066 -34.8622342043663,-58.0830812180684 -34.8634763478229,-58.0834214218346 -34.8637730248022,-58.0834575345733 -34.863746486261,-58.0835392226709 -34.8638221971807,-58.0840944833073 -34.8633926909281,-58.0842256906843 -34.8634628969013,-58.0843308517417 -34.8634921083062,-58.084532410435 -34.8635242408515,-58.0852860646796 -34.8635534522563,-58.0853824623155 -34.863600190504,-58.0857417732885 -34.8638820030319,-58.0845353315755 -34.8647102238875,-58.0845647952488 -34.8647396875607,-58.0836634167957 -34.8653357701838,-58.0812665753753 -34.8632993130343,-58.0812448173634 -34.8633227028971,-58.0812023694738 -34.8632860586179,-58.0804107613632 -34.8639048925364)))"
15,16,El Canario,Buenos Aires,Almirante Brown,Burzaco,1485,1350,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,267108,"MULTIPOLYGON (((-58.4335746838166 -34.8329688579746,-58.4402339360506 -34.8362996392847,-58.4423326653354 -34.8334288020506,-58.4356112615633 -34.8300485141266,-58.4335746838166 -34.8329688579746)))"
16,17,Vieja Estación,Buenos Aires,La Plata,José Melchor Romero,33,30,Década 1960,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,30176,"MULTIPOLYGON (((-58.0554812578484 -34.9491383179964,-58.0535190913341 -34.947288567272,-58.0528253968639 -34.9478466255908,-58.0527649073712 -34.9478239955356,-58.0525691893084 -34.9479677204301,-58.0536809655041 -34.9489745275524,-58.0537801769136 -34.9490560232168,-58.0545411355649 -34.9497344825603,-58.0545812789024 -34.9497705612703,-58.0554812578484 -34.9491383179964)))"
17,18,El Triángulo,Buenos Aires,La Plata,Lisandro Olmos,110,100,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,20878,"MULTIPOLYGON (((-58.0345997484451 -34.9944543053523,-58.0338512669369 -34.9937726631542,-58.0340388247543 -34.9934489157652,-58.0333087341618 -34.9928100067677,-58.0328833993529 -34.9931305721773,-58.033380449503 -34.9950808114635,-58.0334539960572 -34.995016606425,-58.0335497628897 -34.9952704436997,-58.0336634729736 -34.995183331207,-58.0345997484451 -34.9944543053523)))"
18,19,Campo Ramos,Buenos Aires,Almirante Brown,Longchamps,220,200,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,452246,"MULTIPOLYGON (((-58.4047040339039 -34.8548027611065,-58.4050155320848 -34.854517931254,-58.4076994112703 -34.8658663741252,-58.4074931796408 -34.8661642556561,-58.3993220221659 -34.8621547341746,-58.4047040339039 -34.8548027611065)))"
19,20,Laprida,Buenos Aires,Quilmes,Quilmes,239,217,Década 2000,,Conexión a la red con medidor comunitario,Conexión formal a la red cloacal,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Villa,31246,"MULTIPOLYGON (((-58.266176279977 -34.7446402759187,-58.2649329571696 -34.7439272803751,-58.2649205114568 -34.7439424395916,-58.2646053416414 -34.7437700735956,-58.2645658231542 -34.7438359942357,-58.2642513778987 -34.7436737448474,-58.2641729786 -34.7436258226736,-58.2632720215865 -34.7431611492676,-58.2632358551618 -34.7431393352174,-58.2628144523805 -34.7437640722079,-58.2631631779363 -34.7439177478766,-58.2631148059936 -34.7439693446155,-58.2630929472599 -34.743960791198,-58.2630771951564 -34.7439870812387,-58.2626373565287 -34.7445614332635,-58.262620275107 -34.7445840990706,-58.2630785270365 -34.74481021022,-58.2635686960562 -34.7441652509836,-58.2656840623015 -34.7453438121774,-58.266176279977 -34.7446402759187)))"
20,21,El Rincón II,Buenos Aires,La Plata,Arturo Seguí,154,140,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,48187,"MULTIPOLYGON (((-58.094492112886 -34.8956287623227,-58.0944853424798 -34.8958240394748,-58.0944440614258 -34.8959664513653,-58.0945430826686 -34.8962964502266,-58.0949807379895 -34.8961966520281,-58.0949532461436 -34.8961464237641,-58.0982156355753 -34.8954142312444,-58.0980170445906 -34.8950386036319,-58.0970661840738 -34.8952569306958,-58.0970202381861 -34.8949181400467,-58.0966122007995 -34.8949767319877,-58.0965211251488 -34.8943803368081,-58.0957266497906 -34.8945695537705,-58.0955269102306 -34.8935458835133,-58.0951611966434 -34.8935955210617,-58.0953557373113 -34.8948481343537,-58.0950185011987 -34.8948940036793,-58.0950411525311 -34.8950070901052,-58.0947541755474 -34.8950343738226,-58.0946688261071 -34.8950424882365,-58.0945720779457 -34.8950516863592,-58.0945188102755 -34.8949613197268,-58.0938522867871 -34.8950807545715,-58.0938908141564 -34.8951655147839,-58.0944571664847 -34.8952849496286,-58.094499504805 -34.89541555903,-58.094492112886 -34.8956287623227)),((-58.0938621046177 -34.8953843650845,-58.0941211465118 -34.896057060566,-58.0932562723003 -34.896266234645,-58.0930195135724 -34.8955934119641,-58.0938621046177 -34.8953843650845)))"
21,22,Colinas del Sol,Buenos Aires,La Plata,Gorina,151,137,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,55500,"MULTIPOLYGON (((-58.0552286068395 -34.9041271412642,-58.054889912863 -34.9031991087162,-58.0516557130118 -34.9039485877143,-58.0522930484266 -34.9057664895733,-58.0546175767847 -34.9051930411545,-58.0543312893131 -34.9043522584735,-58.0552286068395 -34.9041271412642)))"
22,23,Malvinas Argentinas,Buenos Aires,La Plata,San Carlos,88,80,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,39732,"MULTIPOLYGON (((-58.0074793529642 -34.9508708855703,-58.0098179458899 -34.9490821740192,-58.0088062734133 -34.9481553023663,-58.0081936502958 -34.9486232663165,-58.0081173730143 -34.9487059906843,-58.0077280528548 -34.9490469664058,-58.0076234755707 -34.9490903284849,-58.0064891685813 -34.9499032496007,-58.0074793529642 -34.9508708855703)))"
23,24,La Banda,Buenos Aires,La Plata,San Carlos,440,400,Década 2010,2014,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,113794,"MULTIPOLYGON (((-57.9963087045943 -34.9591710681534,-57.9979257012395 -34.9579487059965,-57.9937486436789 -34.9542358481985,-57.9920910548317 -34.9554724893725,-57.9963087045943 -34.9591710681534)))"
24,25,Laberinto,Buenos Aires,Lomas de Zamora,Lavallol,55,50,Década 1940,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Villa,9653,"MULTIPOLYGON (((-58.4210467009041 -34.8029967316486,-58.4207474441303 -34.8028517309438,-58.4202925956563 -34.8034919953562,-58.4216417329196 -34.8042015359125,-58.4216806970823 -34.8042159028858,-58.421807260907 -34.8040545687796,-58.4219371930758 -34.8038202971418,-58.4219500680851 -34.8034420937454,-58.42186177408 -34.803398251205,-58.4218379642903 -34.8034411744706,-58.4216846901568 -34.8036463839132,-58.4213441951986 -34.8034684752496,-58.4209051465956 -34.8032492984362,-58.4210557028587 -34.8030265746967,-58.4210467009041 -34.8029967316486)))"
25,27,Monterrey II,Buenos Aires,Pilar,Presidente Derqui,44,40,Década 2000,,Conexión regular a la red con medidor domiciliario con consumo limitado,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,5265,"MULTIPOLYGON (((-58.8295202067761 -34.4850790416972,-58.8291504886551 -34.4855953535922,-58.8298665837821 -34.4859863250696,-58.8302501185936 -34.4854894249962,-58.8302306547944 -34.4854780441293,-58.8295731421207 -34.4851110017977,-58.8295202067761 -34.4850790416972)))"
26,28,El Rincón III,Buenos Aires,La Plata,Arturo Seguí,253,230,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,104247,"MULTIPOLYGON (((-58.092678 -34.881742,-58.0924881889566 -34.8816620121313,-58.0922542590232 -34.8814226838149,-58.0922566372378 -34.8812641720088,-58.0920084803228 -34.8809456818505,-58.0919135849474 -34.8810603950971,-58.0919660149684 -34.8813544108869,-58.0920997886443 -34.8816574787908,-58.0921453574061 -34.8816621129021,-58.0921492191656 -34.8818273962075,-58.0921567956465 -34.8820422927555,-58.092013 -34.881962,-58.091283 -34.88293,-58.090908 -34.884065,-58.090972 -34.884312,-58.0914331206163 -34.8853893194196,-58.0922091693939 -34.8851376746051,-58.0928748114405 -34.8866508181554,-58.0936182555002 -34.8863874036134,-58.0929903685491 -34.884927822455,-58.0945388132488 -34.8844641704925,-58.0939846013725 -34.8831563404972,-58.0937569504845 -34.8820176481936,-58.092678 -34.881742)))"
27,30,La Cañada,Buenos Aires,Quilmes,Bernal Oeste,402,365,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,112777,"MULTIPOLYGON (((-58.3109671904386 -34.7342797711881,-58.3114790838824 -34.7330655349687,-58.311940091516 -34.7318794144028,-58.3122772988788 -34.7308919355352,-58.3102636433584 -34.7298395536353,-58.3081048862363 -34.7330181854757,-58.310559548701 -34.7341865224819,-58.3106044981135 -34.7342626405632,-58.3103673223866 -34.7345891037092,-58.3101934482156 -34.734888849759,-58.3101372807932 -34.7349753721776,-58.3101029745384 -34.7350727220812,-58.3101449338139 -34.735106919702,-58.3099246209412 -34.7354534475319,-58.3096168838794 -34.7359259908521,-58.310066355373 -34.7361644859303,-58.3109671904386 -34.7342797711881)))"
28,31,Villa Las Rosas,Buenos Aires,La Plata,Gorina,220,200,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Conexión formal a la red de gas con factura,Energía eléctrica,NO,Asentamiento,66422,"MULTIPOLYGON (((-58.0436019405847 -34.8903875649739,-58.0411535084169 -34.8909655405972,-58.0413182607073 -34.891517702633,-58.0425474468794 -34.8912206681817,-58.0429655484186 -34.8924513111128,-58.0417422389728 -34.892753110876,-58.0422065227173 -34.8940441346503,-58.0446522641361 -34.8934590716799,-58.0436019405847 -34.8903875649739)))"
29,32,Urquiza,Buenos Aires,Avellaneda,Dock Sud,110,100,Década 1990,,Conexión a la red con medidor comunitario,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,13299,"MULTIPOLYGON (((-58.3493533833699 -34.6431517989133,-58.3494394552301 -34.6428706729437,-58.3494123604746 -34.6427824699447,-58.3491355048885 -34.6428373496039,-58.3489491307329 -34.6428792496723,-58.3485827743276 -34.6429261083103,-58.3482515905326 -34.6429819053261,-58.3478743443462 -34.6430324012304,-58.3471794925165 -34.6433216079709,-58.3466945097951 -34.6436705797672,-58.3461442528043 -34.6442762129347,-58.3458587804781 -34.6445888058587,-58.3454649062596 -34.6451217717561,-58.3451987059203 -34.6453725568215,-58.3445274721603 -34.646199486037,-58.3446951586954 -34.6462924999075,-58.3455238233006 -34.6456468435248,-58.3453450459619 -34.6454352769526,-58.3453158530669 -34.6453727063259,-58.3453718701772 -34.6453231845616,-58.346089382241 -34.6447863879306,-58.3463890336415 -34.6450635879779,-58.3464256161934 -34.6450103678526,-58.3461158075409 -34.6446763129969,-58.3460437641865 -34.6445717225483,-58.3462395348242 -34.6444051871474,-58.3463635929652 -34.6442427637935,-58.3466273827565 -34.643975075467,-58.3469146902611 -34.643701491371,-58.3469663603913 -34.643658743924,-58.3472352008265 -34.6435009122781,-58.3475620880652 -34.6433350302501,-58.3479729843429 -34.6431897990803,-58.3481823187892 -34.6431647421997,-58.3484962012064 -34.6431443163699,-58.3488983688043 -34.6431349976961,-58.3493533833699 -34.6431517989133)))"
30,34,Juan Domingo Perón,Buenos Aires,Lomas de Zamora,Santa Catalina,341,310,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,87232,"MULTIPOLYGON (((-58.4877536161603 -34.7345766617175,-58.4877936199616 -34.7345492624525,-58.4883172032978 -34.7349896802553,-58.4881214080044 -34.7351738471436,-58.4885750162514 -34.7355388308928,-58.4888225154635 -34.7353372289017,-58.4905420182279 -34.7368806624624,-58.4919477744867 -34.7349270671688,-58.4905419945215 -34.7337198467752,-58.486755929522 -34.7335557824243,-58.4866520478367 -34.7336742075455,-58.4877536161603 -34.7345766617175)))"
31,35,San Cayetano,Buenos Aires,La Plata,José Melchor Romero,242,220,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Energía eléctrica,NO,Asentamiento,121939,"MULTIPOLYGON (((-58.0367541073652 -34.9511429836519,-58.0353082371452 -34.9498394029106,-58.0365302494561 -34.9488832914266,-58.0359927903379 -34.9483910920236,-58.0347594630982 -34.9493472035076,-58.0337347598791 -34.9484435171793,-58.0315359193329 -34.9499985512846,-58.0326845880286 -34.9510882881774,-58.0337510200685 -34.9520472283936,-58.0345395516155 -34.9527840750758,-58.0367541073652 -34.9511429836519)))"
32,36,166 y 523,Buenos Aires,La Plata,José Melchor Romero,45,41,Década 2010,2011,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Energía eléctrica,NO,Asentamiento,36624,"MULTIPOLYGON (((-58.0412950839231 -34.9494704605309,-58.0398668537999 -34.948216318159,-58.0387488874632 -34.9490658462511,-58.0390967367854 -34.9494274991179,-58.0385444336119 -34.9498274427953,-58.0395706042675 -34.9507547189432,-58.0412990117034 -34.9494740315057,-58.0412950839231 -34.9494704605309)))"
33,38,Las Casuarinas,Buenos Aires,La Plata,Lisandro Olmos,121,110,Década 1960,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Gas en garrafa,NO,Asentamiento,59819,"MULTIPOLYGON (((-58.0395072249883 -34.9798939591684,-58.0383749154216 -34.9788624553845,-58.036644930071 -34.9801079651441,-58.0377492774363 -34.9810631974912,-58.0378640634757 -34.9809817040424,-58.0383554422498 -34.9814266742016,-58.0381752702725 -34.9815604384634,-58.0386502687948 -34.9819890292703,-58.0387547986472 -34.9820812953527,-58.0405040798251 -34.9807804582776,-58.0395072249883 -34.9798939591684)))"
34,39,La Esperanza,Buenos Aires,La Plata,Angel Etcheverry,55,50,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,49425,"MULTIPOLYGON (((-58.0912381999519 -35.0232515297281,-58.090330357687 -35.0224278405843,-58.0870041732638 -35.0249510776786,-58.0878658336229 -35.0257224438298,-58.0912381999519 -35.0232515297281)))"
35,41,Los Rosales,Buenos Aires,La Plata,Lisandro Olmos,207,188,Década 1980,,Conexión irregular a la red,Conexión formal a la red cloacal,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,106307,"MULTIPOLYGON (((-58.0543999482989 -35.0034239790334,-58.0536103219587 -35.0039991224615,-58.0535441255609 -35.004030106804,-58.0531359817401 -35.0043401067105,-58.0525038995353 -35.004820196295,-58.0524235181308 -35.0048589255989,-58.0514447598677 -35.005621896933,-58.0536548287116 -35.007777849834,-58.0559200544866 -35.0061491482327,-58.0551606817705 -35.0054694358173,-58.0559461023307 -35.0048240687757,-58.0556234129901 -35.0045405035414,-58.0554000951382 -35.0043630115437,-58.0550301725044 -35.0040406252746,-58.0550004418169 -35.0039720114991,-58.0543999482989 -35.0034239790334)))"
36,42,Las Palmeras,Buenos Aires,La Plata,Los Hornos,737,670,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,229895,"MULTIPOLYGON (((-57.9676173794947 -34.9635290405046,-57.9668782467758 -34.9640110835822,-57.9666273546557 -34.964207418769,-57.965358122765 -34.9652115969112,-57.9652519561227 -34.9652559672413,-57.9641084580522 -34.966086323308,-57.9656466261654 -34.9674153058492,-57.9658489504287 -34.9672426755443,-57.9661043340575 -34.9675488846622,-57.9664441634439 -34.9676099110114,-57.966713298906 -34.9680008660311,-57.9696055461323 -34.9704886888479,-57.9705258809129 -34.9698353733909,-57.9693233265649 -34.9686996594052,-57.9709070245792 -34.9675282091013,-57.9700448454636 -34.9667925534636,-57.9707875554763 -34.9662670210808,-57.9677162177716 -34.9635225236952,-57.9676173794947 -34.9635290405046)))"
