fid,id_renabap,nombre_barrio,provincia,departamento,localidad,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,titulo_propiedad,clasificacion_barrio,superficie_m2,WKT
980,1084,La Chechela,Buenos Aires,Escobar,Escobar,1200,1320,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Conexión formal a la red de gas con factura,Conexión formal a la red de gas con factura,NO,Asentamiento,345526,"MULTIPOLYGON (((-58.785734742344 -34.3296743383287,-58.7840867084376 -34.3288241998006,-58.7834397578217 -34.3296935396908,-58.7850491626981 -34.3305219098477,-58.7849224912628 -34.330730297539,-58.7844061323345 -34.3314283104344,-58.7887858998044 -34.333781783101,-58.7888302577476 -34.3337276558928,-58.7900375095997 -34.3343666026217,-58.7909532350665 -34.3331506715565,-58.7897848187289 -34.3324948597047,-58.7924531019894 -34.3290131155635,-58.7880898941352 -34.3265974188861,-58.785734742344 -34.3296743383287)))"
981,1085,Altos del Oeste,Buenos Aires,General Rodríguez,General Rodríguez,550,605,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,641156,"MULTIPOLYGON (((-58.8963475926977 -34.6379472952785,-58.9030054579999 -34.631159845,-58.9055632881589 -34.6286460399767,-58.9055430239862 -34.6285942537574,-58.9017795167877 -34.6294824999972,-58.9013686043954 -34.6281822155777,-58.8949831383978 -34.6296772612132,-58.895398714 -34.630956801,-58.8938202000382 -34.6313355460183,-58.8933743882372 -34.6300431421105,-58.8925019279999 -34.6302505579999,-58.892963268 -34.631565931,-58.8921146321633 -34.6317306973874,-58.8935748119999 -34.636076885,-58.894626237 -34.636738941,-58.8963475926977 -34.6379472952785)))"
982,1086,Portugal,Buenos Aires,Moreno,Cuartel V,756,832,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,238975,"MULTIPOLYGON (((-58.7974120294294 -34.5606649470599,-58.8002673365551 -34.557720849896,-58.8012235792278 -34.5567252981686,-58.8025873468686 -34.5553215126848,-58.8033924214338 -34.5545218784044,-58.8010860044816 -34.5529550729967,-58.7997426658149 -34.5543420209708,-58.7979473947905 -34.5562226750462,-58.7959973538576 -34.5582110060785,-58.7957321664336 -34.5584852797912,-58.795519284804 -34.5583619320228,-58.7949227133027 -34.5589635289602,-58.797017893428 -34.560361181306,-58.7974120294294 -34.5606649470599)))"
983,1087,París,Buenos Aires,Tres de Febrero,Loma Hermosa,50,55,Década 1970,,Conexión irregular a la red,Conexión formal a la red cloacal,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,5349,"MULTIPOLYGON (((-58.6121836621768 -34.5684381338597,-58.6117723362472 -34.5680665634583,-58.6109894014908 -34.5686605245308,-58.611396028405 -34.5690162128482,-58.6121836621768 -34.5684381338597)))"
984,1088,La Victoria,Buenos Aires,La Plata,Arturo Seguí,400,440,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,258430,"MULTIPOLYGON (((-58.140791 -34.894604,-58.139954 -34.895211,-58.138902 -34.894441,-58.138124 -34.895061,-58.139035 -34.895822,-58.133701 -34.899938,-58.132148 -34.898629,-58.132631 -34.898242,-58.131879 -34.897582,-58.138124 -34.892461,-58.140791 -34.894604)))"
985,1089,Satélite II,Buenos Aires,Moreno,Moreno,612,673,Década 1980,,Conexión irregular a la red,Conexión formal a la red cloacal,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,178145,"MULTIPOLYGON (((-58.78590608 -34.6037246625365,-58.785190944034 -34.6040089825147,-58.7843825849999 -34.604362598,-58.7836208379999 -34.6047599839999,-58.782977108 -34.605139707,-58.781517986 -34.605713704,-58.781217579 -34.6058373339999,-58.780820612 -34.6058196719999,-58.7801017799999 -34.6058196719999,-58.7796975669672 -34.6059834442217,-58.7795725628536 -34.6059053823339,-58.7790864888002 -34.6062041113376,-58.778857235 -34.606199391,-58.7781755296808 -34.6066765652908,-58.7777370245146 -34.6071801389655,-58.7774509189999 -34.607334119,-58.7769802494698 -34.6074489001964,-58.776673079 -34.607691755,-58.776297569 -34.608022897,-58.7784028928079 -34.6098887420792,-58.785021868404 -34.6049621515444,-58.7862774346554 -34.6040404412713,-58.78590608 -34.6037246625365)))"
986,1090,Matienzo,Buenos Aires,Tres de Febrero,Jose Ingenieros,35,39,Década 1970,,Conexión irregular a la red,Conexión irregular a la red cloacal,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,2601,"MULTIPOLYGON (((-58.5367787345509 -34.6203095471478,-58.5372102485664 -34.6204936775493,-58.5375129480199 -34.6201545389801,-58.537374185 -34.620093233,-58.5370977330739 -34.6198661993656,-58.5367301873482 -34.6201742252603,-58.536880659 -34.620238914,-58.5367787345509 -34.6203095471478)))"
987,1091,El Monte,Buenos Aires,Quilmes,Quilmes,1110,1221,Década 1950,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,184443,"MULTIPOLYGON (((-58.2557113447785 -34.712949324111,-58.2604694127467 -34.7102133277105,-58.260429331443 -34.7101286985601,-58.2595249162215 -34.7096102678924,-58.2592497651597 -34.7094924861139,-58.2586957298924 -34.7092087225665,-58.2583602625537 -34.7088968654003,-58.258293271 -34.7088273269999,-58.2553730509999 -34.710211736,-58.2528085669999 -34.711444205,-58.2516896719999 -34.7119759029999,-58.2517168425719 -34.7120609741897,-58.2533315773204 -34.7131113816693,-58.2545266233017 -34.7137444715046,-58.2548135291821 -34.7134314832714,-58.25553 -34.713131,-58.2557113447785 -34.712949324111)))"
988,1093,La Esperanza,Buenos Aires,Escobar,Garín,190,209,Década 1990,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,54899,"MULTIPOLYGON (((-58.7495475975098 -34.427017405715,-58.7471195456947 -34.4301143112415,-58.7476962140287 -34.4304246323827,-58.7470175039346 -34.4312808325423,-58.7469667240385 -34.431290528692,-58.746447919725 -34.429871143399,-58.7464436753366 -34.4297383193862,-58.7463061031388 -34.4296696269717,-58.7475598919516 -34.4276181641584,-58.7481997691564 -34.4263570911899,-58.7485668109153 -34.4265025375771,-58.7495475975098 -34.427017405715)))"
989,1094,Arraras,Buenos Aires,General Rodríguez,General Rodríguez,160,176,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,294922,"MULTIPOLYGON (((-58.9753068179825 -34.6161721591242,-58.9750685872452 -34.6160503345052,-58.9743001502735 -34.6170524039121,-58.9736016217374 -34.6166813270117,-58.9709424459755 -34.62013208404,-58.9718573154032 -34.6206029969054,-58.9702281055853 -34.6227581781551,-58.9681970330898 -34.6210889986234,-58.9695330130402 -34.6194070670979,-58.9715452590592 -34.6167741958116,-58.9722060733941 -34.6159098405723,-58.9712847006306 -34.6154279205668,-58.970709873048 -34.6161804214802,-58.969630751557 -34.615628052171,-58.9694722455813 -34.6158522020356,-58.9687888088584 -34.6154916835021,-58.969030350134 -34.6150916935665,-58.9697252147142 -34.6154407269271,-58.9702189178121 -34.6149076366829,-58.9708163442337 -34.6140838197111,-58.9698799671827 -34.6135789537005,-58.9700451091862 -34.6132158534337,-58.9708891929397 -34.6120936891276,-58.9717393613546 -34.6125259781521,-58.9718618432449 -34.6126388536197,-58.9718498352165 -34.612706098579,-58.9717930317085 -34.6127981901649,-58.976129358021 -34.6151030108458,-58.9753068179825 -34.6161721591242)))"
990,1095,154 y 413,Buenos Aires,La Plata,Arturo Seguí,23,25,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,9217,"MULTIPOLYGON (((-58.1342412561339 -34.8930780720136,-58.1350116403164 -34.8924698703941,-58.1342650115281 -34.8918637945495,-58.1335158640427 -34.892461584866,-58.1342412561339 -34.8930780720136)))"
991,1096,Irigoyen,Buenos Aires,Zárate,Zárate,80,88,Década 2010,2013,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,84683,"MULTIPOLYGON (((-59.0428685768847 -34.122109167223,-59.0429236111911 -34.1220117256131,-59.042382904606 -34.1209043375489,-59.0423000877998 -34.1206385372607,-59.0413012054055 -34.1201124777616,-59.0415053283693 -34.119806366773,-59.0416493449999 -34.1196766901194,-59.0421411842052 -34.1189953519736,-59.042368177 -34.1189217111193,-59.0463403075955 -34.1209884682919,-59.0465851545767 -34.1210999175045,-59.0464401458236 -34.1213134362449,-59.0461866008334 -34.1214157330916,-59.0458761038058 -34.1212651667354,-59.0456347786482 -34.1216094096529,-59.0452366920818 -34.1214556214071,-59.0447823939202 -34.1216205972989,-59.0448373564497 -34.1217437876066,-59.044367044621 -34.1219445655186,-59.0443191748418 -34.121812323318,-59.0437535608455 -34.1220429747651,-59.0439159841523 -34.1221179063298,-59.0436614680502 -34.122507014541,-59.0428685768847 -34.122109167223)))"
992,1097,San Luis,Buenos Aires,La Plata,Tolosa,225,248,Década 1990,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,133524,"MULTIPOLYGON (((-57.9987722806582 -34.9123720291024,-57.9975056071974 -34.9133582823311,-57.998438290912 -34.9142719429725,-57.9995408620837 -34.9152192151395,-58.0002249644323 -34.915784292702,-58.000511450514 -34.9157818840406,-58.000950666506 -34.9155281385634,-58.0012374666182 -34.916148590504,-58.0014601472177 -34.9160100779292,-58.0020942441056 -34.9166398095968,-58.0027016041466 -34.9161866695034,-58.000684392713 -34.9143483505327,-58.0028673652701 -34.9127075484339,-58.000878742115 -34.9108191625399,-57.9997408267236 -34.9116595913114,-58.0004693351749 -34.9123413993333,-58.0000395119794 -34.9126455509426,-58.0002803605082 -34.9128876062144,-57.9999704046669 -34.9131338513697,-57.9989894182239 -34.9122081433763,-57.9987722806582 -34.9123720291024)))"
993,1098,El Zorzal,Buenos Aires,Merlo,Pontevedra,900,990,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,537750,"MULTIPOLYGON (((-58.7115754859387 -34.7349406159922,-58.7117851419561 -34.7351217892704,-58.711478 -34.735366,-58.7119223251048 -34.7357770790634,-58.7115465471089 -34.7360459378811,-58.7118923790216 -34.7363459893553,-58.7108252077823 -34.7371822582988,-58.7112156703635 -34.7375231514489,-58.713436149197 -34.7357842976018,-58.7168704483449 -34.7330125530209,-58.7169148289865 -34.7329754427983,-58.7140868873339 -34.7306261148468,-58.7161014187826 -34.7290359879076,-58.7146564036151 -34.7278421205462,-58.7154317495934 -34.727197729128,-58.7141109801663 -34.7260169706768,-58.7127446385743 -34.727123387673,-58.7140601489262 -34.7282564037238,-58.7133834549881 -34.7288127340586,-58.7120436081329 -34.7277379981555,-58.7113674893948 -34.7282815173118,-58.7126764865144 -34.7294000004137,-58.7099690836322 -34.7316038503551,-58.709289225726 -34.7309814173603,-58.7098641109541 -34.7304707425312,-58.7092245367617 -34.7299464189786,-58.70855318072 -34.7304829478235,-58.7092648459236 -34.7310681256569,-58.7084781222806 -34.7317019524788,-58.7091550382066 -34.732282960399,-58.7084331009037 -34.7328711786789,-58.7070735564833 -34.7316963925945,-58.7043005641373 -34.7338994967892,-58.7055209587637 -34.7349586547679,-58.7068953714016 -34.7338252358969,-58.7084134886244 -34.7351685404042,-58.7091831722511 -34.7345541216972,-58.7099186775434 -34.7352676878776,-58.7092717187233 -34.7358022063093,-58.7098660084245 -34.7363093977954,-58.7115754859387 -34.7349406159922)))"
994,1099,Porá,Buenos Aires,Lanús,Lanús Este,360,396,Década 1970,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,35999,"MULTIPOLYGON (((-58.3571479326846 -34.7125263206715,-58.357360373554 -34.7111124262879,-58.3580897591102 -34.7118351494981,-58.3581945317985 -34.7117218879429,-58.3574077741975 -34.7109470574697,-58.3574374066149 -34.7108696234106,-58.3579177591183 -34.7104731520484,-58.3579005722683 -34.7104242046779,-58.3580306902479 -34.7103000962448,-58.3574540837526 -34.7098037381687,-58.3575247298398 -34.7093773306031,-58.3576007061724 -34.7089126958779,-58.3577727673076 -34.7077401542471,-58.3578300689999 -34.7072728049999,-58.3579747383992 -34.7063032248897,-58.357690536825 -34.7062669686235,-58.3575075361825 -34.7074005949923,-58.3575805597838 -34.7074229140643,-58.3572430917756 -34.7098326547566,-58.3571779578519 -34.7098307410704,-58.3570148517301 -34.7100127127334,-58.3561662250228 -34.7105743361865,-58.3564723139397 -34.7108845378961,-58.3566755215764 -34.7108852191935,-58.3568670426121 -34.7110004975665,-58.3567996961385 -34.7115565987263,-58.3562169947901 -34.7111422763648,-58.3558436771881 -34.7113969238416,-58.356727524 -34.712267745,-58.3570451445094 -34.7125796244638,-58.3571479326846 -34.7125263206715)))"
995,1100,Sin Nombre,Buenos Aires,La Plata,Manuel B. Gonnet,36,40,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Sin Datos,NO,Asentamiento,11923,"MULTIPOLYGON (((-58.011083119655 -34.8676244134969,-58.0105097497825 -34.8678892452174,-58.0102927607029 -34.8675692162174,-58.0098301882218 -34.867771463503,-58.0100416564365 -34.868083485584,-58.0096075670291 -34.8682795174058,-58.0099817405145 -34.8688440604854,-58.0104307113553 -34.8686457398621,-58.0109494028912 -34.8684225714854,-58.0109502017825 -34.8682202371883,-58.011347045579 -34.8680398622689,-58.011083119655 -34.8676244134969)))"
996,1101,Gauchito Gil,Buenos Aires,La Matanza,Ciudad Evita,162,178,Década 2000,,Conexión irregular a la red,Conexión formal a la red cloacal,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Villa,29991,"MULTIPOLYGON (((-58.5527505898486 -34.7214031283328,-58.551382437613 -34.7201927241657,-58.5513207570388 -34.7200852457652,-58.5525884098274 -34.7190720998606,-58.5528384449288 -34.7190075132293,-58.5534393705144 -34.7191237678283,-58.5533276412665 -34.7196008919439,-58.5532241770995 -34.7203233431945,-58.553228119582 -34.7206294715253,-58.5532638633883 -34.7210156314624,-58.5527505898486 -34.7214031283328)))"
997,1102,San Agustín,Buenos Aires,Almirante Brown,Solano,96,106,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,32072,"MULTIPOLYGON (((-58.3234364244516 -34.7864989753975,-58.3234898275486 -34.7862876501764,-58.3235649038106 -34.7856290428147,-58.3236390354092 -34.7848557736936,-58.3221947377406 -34.7841356758693,-58.3212686214509 -34.785385258503,-58.3234364244516 -34.7864989753975)))"
998,1105,Los Pinos,Buenos Aires,La Plata,José Melchor Romero,280,308,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,256374,"MULTIPOLYGON (((-58.0163084572406 -34.9493628911325,-58.0172699863949 -34.9503001217161,-58.016140102858 -34.9510932964877,-58.0182575497321 -34.9530337109182,-58.0193978469421 -34.9521936746174,-58.0204305361963 -34.9531048710181,-58.0226555910262 -34.9514699243334,-58.0237065042084 -34.9524201720084,-58.0261164017367 -34.9506437729301,-58.0239534176902 -34.9487533601908,-58.0228326234698 -34.9496093480637,-58.0223310643717 -34.9491376097473,-58.0217634863596 -34.9495676933711,-58.021242802702 -34.9490851931818,-58.0195328409999 -34.9503992415637,-58.017452225675 -34.9485575670755,-58.0163084572406 -34.9493628911325)))"
999,1106,Don Pipo,Buenos Aires,Almirante Brown,Solano,102,112,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,17902,"MULTIPOLYGON (((-58.3242221522724 -34.7869538254769,-58.3250987727481 -34.785530626981,-58.3237926238945 -34.7848844938444,-58.3236307950052 -34.7866632827042,-58.3242221522724 -34.7869538254769)))"
1000,1107,Capitán Bermúdez,Buenos Aires,Tres de Febrero,Caseros,150,165,Década 1960,,Conexión irregular a la red,Conexión irregular a la red cloacal,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,5133,"MULTIPOLYGON (((-58.5736120815345 -34.6240758892658,-58.573592303857 -34.623906,-58.5734125840613 -34.6239031799489,-58.5734188982988 -34.6234713087554,-58.5733642695998 -34.6234697639506,-58.5733624999636 -34.6234180661521,-58.5733651310672 -34.6234045902884,-58.5733892081609 -34.6233950513448,-58.5733799923093 -34.6230969324481,-58.5728950666166 -34.6231334507342,-58.5729009936256 -34.6236751687353,-58.5729728360615 -34.6239315706229,-58.5730150175111 -34.6241112057576,-58.5736120815345 -34.6240758892658)))"
1001,1108,Dieciseis de Marzo,Buenos Aires,Avellaneda,Villa Domínico,120,132,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,31338,"MULTIPOLYGON (((-58.326669757397 -34.6866211832087,-58.322312236 -34.6828149625891,-58.3219210220552 -34.6831917618815,-58.3224195239999 -34.683612351,-58.3262339646029 -34.6869581492663,-58.326669757397 -34.6866211832087)))"
1002,1109,11 y 134,Buenos Aires,Ensenada,Punta Lara,250,275,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,575284,"MULTIPOLYGON (((-58.0006641799079 -34.7995161438655,-57.9991611089396 -34.7981332413247,-57.9988373469043 -34.7983336597116,-57.9967153889354 -34.79635064261,-57.9938763556767 -34.7982207599145,-57.9960043074384 -34.8004475435702,-57.9944586189743 -34.8015074330041,-57.9957678486443 -34.802805626842,-57.9947024030024 -34.8034936550453,-57.9952273886078 -34.8040090319312,-57.9947571177584 -34.8043014271776,-57.9952066220587 -34.8047974306405,-57.9954318752233 -34.8051694904709,-57.995236502709 -34.8058512846941,-57.9963155858387 -34.8069613247532,-57.9952711714698 -34.8077042586857,-57.995683769937 -34.8081684319613,-57.996186624319 -34.8086068178328,-57.9970759999672 -34.8077435537778,-57.9988740783547 -34.8060816922088,-58.0006225009273 -34.8044503713145,-58.0013564172909 -34.8037656094512,-58.0006059093569 -34.8029914663526,-58.0012692082323 -34.8025331126285,-58.0010292555268 -34.8022065954874,-58.0015178586326 -34.8018656059075,-58.0024803447669 -34.8027019038668,-58.0028561766001 -34.8023534872226,-58.0032546925781 -34.8027081055707,-58.0038094898398 -34.8021034366774,-58.0034369647563 -34.8018700711551,-58.0047108069829 -34.8006794545267,-58.0041676169425 -34.8003831832438,-58.0028463636382 -34.801404913866,-58.0006641799079 -34.7995161438655)))"
1003,1110,El Ombú,Buenos Aires,Merlo,Pontevedra,500,550,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,195453,"MULTIPOLYGON (((-58.6792640099756 -34.7415660419947,-58.6814213259284 -34.7398414516535,-58.6828007270264 -34.7387426282279,-58.6840728299999 -34.7398222937679,-58.6847418907234 -34.7403995412851,-58.6860297303039 -34.741476657024,-58.686073751711 -34.7415137315814,-58.6824955399116 -34.7444075935863,-58.6808072771913 -34.7429087553869,-58.6804802921323 -34.7426072872358,-58.6792640099756 -34.7415660419947)))"
1004,1113,Villa Luján I,Buenos Aires,Quilmes,Quilmes,290,319,Década 1950,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,91405,"MULTIPOLYGON (((-58.2313394819002 -34.7118054942587,-58.2321644806227 -34.7123123384454,-58.2328769620471 -34.7115984652751,-58.2354716379746 -34.7132555759238,-58.2368042342642 -34.7117404113901,-58.2353257974022 -34.71083041833,-58.2332466844435 -34.7096207235959,-58.2313394819002 -34.7118054942587)))"
1005,1115,La Vía,Buenos Aires,La Plata,Los Hornos,350,385,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Villa,110433,"MULTIPOLYGON (((-57.972420063635 -34.9447233171274,-57.973412814 -34.9456782569999,-57.974290868 -34.946476138,-57.974500212 -34.9465263119999,-57.97570913 -34.9477345189999,-57.976390390604 -34.9484023509877,-57.9765301434513 -34.9484478126164,-57.977428308 -34.9493006979999,-57.9775117804443 -34.9493957744954,-57.9784285649999 -34.9502376579999,-57.980050573 -34.951679386,-57.9805964442704 -34.9520241376038,-57.980677806019 -34.9520567160317,-57.9810395339999 -34.95224547,-57.9815185859999 -34.952449864,-57.9836710060121 -34.9531808869883,-57.984348263 -34.953396988,-57.9868634311025 -34.9541860961114,-57.987667664 -34.954447632,-57.9885022999999 -34.954699906,-57.9889507407171 -34.9548847050265,-57.9892750891317 -34.9549896683939,-57.9897038388453 -34.9552750225386,-57.9898857961925 -34.9554691282976,-57.9908118685728 -34.9562638672836,-57.9909189112787 -34.956245409598,-57.9914810189999 -34.956099646,-57.992759712 -34.95683281,-57.9936220790956 -34.9573852571239,-57.9938578066924 -34.9574425052673,-57.9948647002457 -34.9584157237066,-57.9951501400265 -34.9582457343989,-57.9920823142069 -34.9555626845118,-57.9917626931735 -34.955435817153,-57.9909041139999 -34.954706942,-57.9908164669619 -34.9546747870662,-57.9903167754593 -34.9550451463079,-57.990040789 -34.95494092,-57.9889592919999 -34.954552765,-57.9871732448493 -34.9539301634462,-57.9857740328453 -34.9534502896991,-57.9855630616226 -34.953444482037,-57.9839993412965 -34.9528963298017,-57.9826220178918 -34.9524349766928,-57.9819218363236 -34.9522396160654,-57.9808506934047 -34.9518119830365,-57.9804160267782 -34.9514943415905,-57.9798000217536 -34.9510441841417,-57.9797208850108 -34.9509431579004,-57.9788352227673 -34.9501383168298,-57.9783367639999 -34.9496846389999,-57.977659419 -34.9490477859999,-57.9767069393737 -34.948169991352,-57.9762844943295 -34.9477959987961,-57.9757673960485 -34.9473382092909,-57.9756444812078 -34.9471799349061,-57.974787541 -34.946316079,-57.9745809789999 -34.9462640589999,-57.9736997278601 -34.9454540720478,-57.9735246163679 -34.9453597808292,-57.9726658942156 -34.9445246317064,-57.972420063635 -34.9447233171274)))"
1006,1116,Sin Nombre,Buenos Aires,Merlo,Pontevedra,12,13,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,10342,"MULTIPOLYGON (((-58.688810974 -34.7439206001518,-58.6896029235103 -34.743274358,-58.6889212029633 -34.742750847334,-58.6890476205102 -34.7426298573296,-58.6888794947914 -34.742505924495,-58.6885507496773 -34.7427692196673,-58.6886321997711 -34.7428482799811,-58.6880532279794 -34.7432609898751,-58.688810974 -34.7439206001518)))"
1007,1118,Progreso,Buenos Aires,Pehuajó,Pehuajó,103,113,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,44198,"MULTIPOLYGON (((-61.914080624 -35.8237636119999,-61.9112374819999 -35.821493097,-61.910307468 -35.8222738659999,-61.9130904689999 -35.8245595819999,-61.914080624 -35.8237636119999)))"
1008,1119,Puente Plateado,Buenos Aires,Mercedes,Mercedes,18,20,Década 2010,2014,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,23584,"MULTIPOLYGON (((-59.3907046152388 -34.6552932538085,-59.3908763810882 -34.654710880055,-59.3912243759561 -34.6547447064947,-59.39150714255 -34.6539544185513,-59.3910198926882 -34.6539144073277,-59.3912464100725 -34.6534114980479,-59.3909852864507 -34.6533473215455,-59.3908122697656 -34.6535664581642,-59.3905825311274 -34.6543082568989,-59.3879742629007 -34.6546020792382,-59.3879352288911 -34.6547155861513,-59.3907046152388 -34.6552932538085)))"
1009,1120,Villa del Carmen,Buenos Aires,Patagones,Carmen De Patagones,350,385,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Villa,181848,"MULTIPOLYGON (((-62.9974050686768 -40.7966658884217,-62.9970758849065 -40.7965195543614,-62.9969151784658 -40.7960161057636,-62.9962446858569 -40.7951818170667,-62.9954561646193 -40.7955770815276,-62.9946591548382 -40.7945986607086,-62.9955044798158 -40.794217255888,-62.9951281437689 -40.7937168831114,-62.9979750329999 -40.7923420753923,-62.99855439 -40.792381188,-62.9988499411768 -40.7921146327907,-62.9998503071315 -40.7921755717571,-63.000459036196 -40.7926774527132,-63.0014035833001 -40.7949330205569,-63.001252970196 -40.7952033050003,-63.0002046122831 -40.7955430493104,-63.0003510018637 -40.7961616219377,-62.9995382623137 -40.7962237605627,-62.9987549241808 -40.7963372894254,-62.9982067639063 -40.79644552689,-62.9974050686768 -40.7966658884217)))"
1010,1121,Alegre,Buenos Aires,Merlo,Pontevedra,250,275,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,114776,"MULTIPOLYGON (((-58.7140899299743 -34.7422117225063,-58.7119891722689 -34.7403921666007,-58.7111855219999 -34.740991731,-58.7107679109999 -34.741281204,-58.710655011421 -34.741305207624,-58.7103957074769 -34.7414236581619,-58.709799518 -34.7409028079999,-58.709161963 -34.741453696,-58.7105571239999 -34.742635632,-58.7098495975169 -34.7432250512005,-58.7100767510321 -34.7434346258301,-58.7096728680193 -34.7438137661166,-58.7098244094807 -34.7439635888778,-58.7095824916752 -34.7441814754606,-58.7106096103183 -34.7450282921151,-58.7140899299743 -34.7422117225063)))"
