fid,id_renabap,nombre_barrio,provincia,departamento,localidad,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,titulo_propiedad,clasificacion_barrio,superficie_m2,WKT
5359,5755,Israel,Salta,Capital,Salta Capital,68,75,Década 2010,2018,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,33672,"MULTIPOLYGON (((-65.384324 -24.844007,-65.383849 -24.844616,-65.3834 -24.845271,-65.383194 -24.845611,-65.383124 -24.84577,-65.3830946844555 -24.8458896162203,-65.3825645604804 -24.845936018891,-65.3824438448234 -24.8452510043635,-65.38226 -24.845004,-65.382148 -24.844871,-65.382084 -24.844666,-65.381917 -24.844692,-65.381746 -24.844639,-65.381852 -24.844206,-65.3818814705049 -24.844084358765,-65.3819386355959 -24.843953881621,-65.3825957510976 -24.8438365620439,-65.3830025794455 -24.8438853334858,-65.3832539558752 -24.8439363743853,-65.3834874679902 -24.8438955416657,-65.3837898853195 -24.8439567907451,-65.3840495558954 -24.8439201050986,-65.3841895384736 -24.8439201050986,-65.384324 -24.844007)))"
5360,5756,Ara San Juan,Salta,Capital,Salta Capital,177,195,Década 2010,2016,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Camión cisterna,Gas en garrafa,Leña o carbón,NO,Asentamiento,151548,"MULTIPOLYGON (((-65.3688312610847 -24.8046680635916,-65.3691800651093 -24.8052248574771,-65.3686111307997 -24.805784305727,-65.3684395302612 -24.8064327521658,-65.3684012843926 -24.8067464896197,-65.3682655407259 -24.8067645618747,-65.3681984915363 -24.8068802203023,-65.3670083130165 -24.8084060707793,-65.3667636870981 -24.8086265976206,-65.366367642451 -24.8099238397758,-65.3660753170448 -24.810260864734,-65.3654918060282 -24.8104670503875,-65.3638436606418 -24.8106697780559,-65.3638503427532 -24.8103153172153,-65.3653988781312 -24.8100251335333,-65.3658197361057 -24.8097757310275,-65.3660078190345 -24.8090723304696,-65.3655394192773 -24.8084377820724,-65.365202258945 -24.8086039352858,-65.3646751092713 -24.8088414754198,-65.3647186217374 -24.8090898326882,-65.3642744290622 -24.8092321175908,-65.3615445026312 -24.8092321855981,-65.361513543224 -24.8087221525948,-65.3636892211612 -24.8086864260506,-65.3648704567052 -24.8081545017524,-65.3649049558487 -24.807422651025,-65.3637072444862 -24.807276026144,-65.3635170137356 -24.8073120755663,-65.363163168357 -24.8074356786228,-65.363080219904 -24.8071248029896,-65.3634260555052 -24.8069944377141,-65.3639031017336 -24.8068853732741,-65.3645056936272 -24.8069938855677,-65.3654299607677 -24.8069385512746,-65.3663310144702 -24.8067408602252,-65.3667920087709 -24.8064760534037,-65.3667285591263 -24.8060764018203,-65.3667140503979 -24.8058515309882,-65.3657462077111 -24.8052497982229,-65.3653836140245 -24.8050732033959,-65.3656380260338 -24.8047465148793,-65.3669897258244 -24.8052830505972,-65.36766649713 -24.8050575656104,-65.3688312610847 -24.8046680635916)))"
5361,5757,El Milagro,Salta,Capital,Salta Capital,18,20,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Conexión irregular a la red cloacal,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,22878,"MULTIPOLYGON (((-65.3847784774407 -24.8141585740421,-65.3845933409146 -24.8143353889457,-65.3844179381089 -24.8145182031376,-65.3841042202539 -24.8150333163843,-65.3841399026455 -24.8151402601679,-65.3839737891593 -24.8152966316251,-65.3838227013313 -24.8153527713204,-65.3832862648154 -24.815360921294,-65.3828581629866 -24.8152467817051,-65.3827372295783 -24.8152561374155,-65.3826289751557 -24.8154138469851,-65.3826286157912 -24.8157197965097,-65.3825968847593 -24.815787518619,-65.3825725760207 -24.8162626081288,-65.3823597683156 -24.8162619826056,-65.3821941089047 -24.8163243763432,-65.3820721955814 -24.8163580861952,-65.3815361608586 -24.8163071431652,-65.3817326178327 -24.8152536103045,-65.3818465683323 -24.8152468756923,-65.3818619712581 -24.8152207371094,-65.3819743401274 -24.8150402710645,-65.3823260023023 -24.8149706557707,-65.3824615295351 -24.81497928808,-65.3829850701188 -24.8149974727756,-65.3830521007358 -24.8149134215428,-65.3831184750696 -24.8149011247556,-65.3832236592576 -24.8148803767772,-65.3834178672231 -24.8148682396743,-65.3839559617052 -24.8147874835012,-65.384057778192 -24.8146919312838,-65.3840972688375 -24.8145963985937,-65.3841948891399 -24.8145090832598,-65.3843032876601 -24.814380314691,-65.3844490074311 -24.8142769602607,-65.3846456687959 -24.8140380553738,-65.3847784774407 -24.8141585740421)))"
5362,5758,Santa Clara de Asís,Salta,Capital,Salta Capital,42,46,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,15673,"MULTIPOLYGON (((-65.3967990901526 -24.8245411445265,-65.3962733457223 -24.8253051649413,-65.3963502089431 -24.8253574319314,-65.3963155724181 -24.8254370427071,-65.3961625854503 -24.8256860080862,-65.3960931198813 -24.8257893931395,-65.3960719640838 -24.825832446636,-65.3960212343581 -24.8259070039602,-65.3958221586162 -24.8258524310734,-65.395762205304 -24.8259392865129,-65.3955900316894 -24.8259054666958,-65.3954772424477 -24.8260868923892,-65.3952484163142 -24.8261177212186,-65.3951532839826 -24.8259322042342,-65.3948810520659 -24.8259503394381,-65.3948798155291 -24.8256641161824,-65.394287088723 -24.8257660071192,-65.3942938714333 -24.8256362568957,-65.3956807302899 -24.8252121604441,-65.396028152048 -24.8248893349167,-65.3962679652969 -24.8245634348605,-65.3963509775754 -24.8244896461685,-65.396541598363 -24.8244773480532,-65.3967076229199 -24.8244927206974,-65.3967990901526 -24.8245411445265)))"
5363,5759,La Católica,Salta,Capital,Salta Capital,16,18,Década 2000,,Conexión irregular a la red,Conexión irregular a la red cloacal,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,17382,"MULTIPOLYGON (((-65.3749208082013 -24.8068474213697,-65.3745828635777 -24.8077506597876,-65.3744846648388 -24.8078659874456,-65.3743588588331 -24.8078390467957,-65.3745679210299 -24.807199480457,-65.3747897757363 -24.8053767565076,-65.375100762209 -24.8054020199559,-65.3749208082013 -24.8068474213697)),((-65.3739131937274 -24.8016763795749,-65.3743192293912 -24.8023050208881,-65.3744978412811 -24.8025886735398,-65.3743512154658 -24.8026982852538,-65.3745840378109 -24.8030728762265,-65.3746707626694 -24.8032491100277,-65.3749535852906 -24.8041152004505,-65.3748895859966 -24.8042060233927,-65.3745666460423 -24.8039355041592,-65.3746936999708 -24.8038132823436,-65.374627992621 -24.8037395198323,-65.3745661080613 -24.8036836819616,-65.3746278791738 -24.8036322660768,-65.3745283271287 -24.8034940349602,-65.3744939267984 -24.8035104346223,-65.3744365436791 -24.8034325377471,-65.3743533636216 -24.8032042284392,-65.3741414650081 -24.802825039529,-65.3742037645662 -24.8027648991893,-65.3740126119484 -24.8026017549019,-65.3740930475996 -24.8025267049196,-65.3737885476748 -24.8022739800991,-65.37387433982 -24.8021909065948,-65.3733734782294 -24.8017477473766,-65.3735406145819 -24.8015905225178,-65.3736755659048 -24.8015564819539,-65.3737910260932 -24.8015820654703,-65.3739131937274 -24.8016763795749)))"
5364,5760,Comunidad Lule,Salta,Capital,Salta Capital,130,143,Década 2010,2014,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,140386,"MULTIPOLYGON (((-65.465316 -24.791058,-65.464785 -24.791377,-65.464686 -24.791491,-65.464081 -24.792663,-65.462357 -24.792994,-65.4619569266392 -24.793100416771,-65.4619715428216 -24.7935000713874,-65.464217 -24.793066,-65.465001 -24.791649,-65.465494 -24.791305,-65.465316 -24.791058)),((-65.460102 -24.793585,-65.4600797816069 -24.7934310484372,-65.459316 -24.793581,-65.458913 -24.793737,-65.458338 -24.794045,-65.457886 -24.794216,-65.456266 -24.794613,-65.455222 -24.794877,-65.454544 -24.795021,-65.453893 -24.795155,-65.453822 -24.795334,-65.454634 -24.796232,-65.454757 -24.796242,-65.455258 -24.796261,-65.456709 -24.796327,-65.456731 -24.796376,-65.457828 -24.796409,-65.458992 -24.795994,-65.458828 -24.795173,-65.458798 -24.794981,-65.458821 -24.794869,-65.459133 -24.79474,-65.459195 -24.794599,-65.459066 -24.794452,-65.460102 -24.793585)),((-65.462196497941 -24.7951982706487,-65.4621055065395 -24.7943820928356,-65.4611856577767 -24.7944958333185,-65.461296 -24.796322,-65.461722 -24.796385,-65.4622823545262 -24.7963446016038,-65.462196497941 -24.7951982706487)))"
5365,5761,Juan Pablo II Ampliación,Salta,General Güemes,Campo Santo,50,55,Década 2010,2015,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,18975,"MULTIPOLYGON (((-65.1037325670354 -24.6937008379788,-65.1033876524307 -24.6937057303845,-65.1011268140787 -24.6937862354391,-65.1010872714788 -24.6930999256069,-65.102733254763 -24.6931327731069,-65.1027480485918 -24.6928948659881,-65.103322 -24.69292,-65.1034218992708 -24.6930525942182,-65.1037325670354 -24.6937008379788)))"
5366,5762,Altos Hornos,Salta,General Güemes,Campo Santo,163,179,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión regular a la red de agua pero sin factura,Gas en garrafa,Leña o carbón,NO,Asentamiento,70944,"MULTIPOLYGON (((-65.1010911291906 -24.6928039637579,-65.1011143743096 -24.6931004664752,-65.1010872714788 -24.6930999256069,-65.1011268140787 -24.6937862354391,-65.1011862397357 -24.6937846721831,-65.1013373032242 -24.6951004070888,-65.1014568235561 -24.6956657340933,-65.1014082543464 -24.6960277990345,-65.1018129 -24.6960867,-65.1017889939252 -24.6963487930495,-65.1014938411658 -24.6968360997791,-65.1006922390595 -24.6967779364562,-65.1005760379538 -24.6977250778776,-65.1004706368987 -24.6981902408749,-65.1007447869016 -24.6982748486256,-65.1006421348269 -24.6986108184471,-65.0997170282153 -24.6984578333538,-65.100056401581 -24.6966951913466,-65.1002038193839 -24.6958282753364,-65.1002152709519 -24.6956691975735,-65.1002016570069 -24.6954628289921,-65.0998993978547 -24.6928167158026,-65.1010911291906 -24.6928039637579)))"
5367,5763,Paraje Torzalito,Salta,General Güemes,General Güemes,26,29,Década 2010,2010,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Camión cisterna,Leña o carbón,Leña o carbón,NO,Asentamiento,73525,"MULTIPOLYGON (((-65.029136138441 -24.7221288301397,-65.0285683837282 -24.7235331354248,-65.0274651217369 -24.7231252061094,-65.0273319024891 -24.7235078996821,-65.0257007590731 -24.7230374421514,-65.0249503925443 -24.7228098661931,-65.0251535698771 -24.7222994472173,-65.0250631971137 -24.722275629723,-65.024040453136 -24.7220844371653,-65.02366527915 -24.7221316419536,-65.0204760378971 -24.7211672610643,-65.0203973297559 -24.7213314655068,-65.0193816323704 -24.7210594846546,-65.019517828405 -24.7207841513634,-65.0186095264323 -24.7206028514806,-65.0189056125681 -24.7201101660454,-65.0224517419841 -24.721323613129,-65.0235417495575 -24.721714029932,-65.0237016070601 -24.7217293783208,-65.0238812032524 -24.7216928002561,-65.0241507625411 -24.7215996894472,-65.0243071538795 -24.7215319709197,-65.0247693229804 -24.7214568144279,-65.0258042356929 -24.7214643621575,-65.0260765464916 -24.7214548370416,-65.0255646184087 -24.7224407567376,-65.0272423775444 -24.7229621700864,-65.0274753189403 -24.7224650965228,-65.0275890156627 -24.7222062559373,-65.0278149917722 -24.7222930517396,-65.0277348048778 -24.7225591093312,-65.0285366938672 -24.7228511582908,-65.0289143949327 -24.7220556459988,-65.029136138441 -24.7221288301397)))"
5368,5764,Madre Vieja,Salta,General Güemes,Madre Vieja,30,33,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Camión cisterna,Gas en garrafa,Leña o carbón,NO,Asentamiento,18504,"MULTIPOLYGON (((-64.9415067807288 -24.5990248591757,-64.941524084685 -24.5994648681861,-64.93917906657 -24.6000825145953,-64.939000466702 -24.5998936928454,-64.9386652849412 -24.599360677379,-64.9415067807288 -24.5990248591757)))"
